episode,timestep,reward
5649,588000,226.0858
5653,590000,390.6902
5658,592000,218.5795
5664,594000,341.3795
5673,596000,209.4793
5679,598000,257.5843
5684,600000,327.3046
5688,602000,395.7313
5693,604000,341.8492
5698,606000,319.5638
5706,608000,209.1657
5713,610000,262.0352
5717,612000,315.6347
5721,614000,387.7409
5728,616000,240.8161
5732,618000,410.0838
5737,620000,222.2688
5741,622000,450.172
5744,624000,537.3245
5748,626000,373.7239
5754,628000,311.8722
5759,630000,327.1751
5762,632000,444.3487
5766,634000,398.1897
5768,636000,553.1734
5773,638000,412.6368
5775,640000,733.0586
5780,642000,347.4756
5782,644000,539.848
5789,646000,264.8267
5793,648000,395.959
5796,650000,432.3771
5801,652000,328.8779
5804,654000,447.6902
5807,656000,602.8199
5809,658000,699.513
5812,660000,403.2411
5815,662000,460.2238
5818,664000,595.9951
5821,666000,387.5658
5823,668000,699.7897
5830,670000,302.6697
5835,672000,298.3807
5837,674000,708.8756
5843,676000,256.8341
5845,678000,687.8995
5847,680000,562.8768
5851,682000,473.9652
5853,684000,385.9057
5857,686000,522.4763
5862,688000,306.296
5865,690000,338.7135
5870,692000,351.5872
5873,694000,517.2914
5876,696000,441.4631
5880,698000,355.0766
5882,700000,700.2311
5886,702000,466.6195
5888,704000,606.4199
5897,706000,206.6396
5901,708000,366.6405
5903,710000,640.3373
5908,712000,327.9741
5912,714000,380.2446
5914,716000,671.6005
5916,718000,609.9352
5919,720000,569.6108
5922,722000,519.1406
5925,724000,570.7704
5928,726000,516.9788
5930,728000,611.5389
5932,730000,687.3339
5938,732000,236.2186
5942,734000,421.8291
5946,736000,409.963
5952,738000,282.1705
5955,740000,421.1697
5958,742000,571.5742
5962,744000,363.5749
5965,746000,462.3099
5969,748000,255.5129
5974,750000,400.388
5977,752000,542.9826
5980,754000,478.7065
5985,756000,351.0071
5991,758000,285.275
5993,760000,652.7879
5998,762000,339.2117
6001,764000,419.9433
6005,766000,473.7427
6009,768000,302.0376
6015,770000,347.8329
6017,772000,690.3452
6019,774000,654.4573
6022,776000,428.3193
6025,778000,570.9441
6027,780000,729.3668
6032,782000,331.4656
6036,784000,412.5314
6039,786000,431.2111
6041,788000,708.6462
6043,790000,608.6149
6047,792000,414.6928
6049,794000,713.4279
6053,796000,355.771
6056,798000,476.5447
6058,800000,702.541
6062,802000,438.7374
6065,804000,437.7535
6069,806000,455.0191
6071,808000,561.0151
6075,810000,519.3809
6080,812000,243.7076
6083,814000,551.0108
6085,816000,634.0567
6088,818000,453.5564
6092,820000,404.3253
6096,822000,427.3108
6099,824000,572.8227
6101,826000,566.2742
6103,828000,569.2234
6106,830000,522.664
6111,832000,399.498
6114,834000,336.289
6116,836000,716.4207
6119,838000,659.9008
6124,840000,233.8215
6128,842000,474.8051
6131,844000,445.4142
6135,846000,447.8608
6139,848000,349.9213
6143,850000,323.6062
6145,852000,699.143
6148,854000,600.1159
6150,856000,492.8918
6153,858000,494.5621
6156,860000,639.506
6158,862000,673.4883
6161,864000,434.5562
6163,866000,659.5148
6165,868000,714.8627
6168,870000,424.4912
6172,872000,471.2725
6174,874000,596.5794
6178,876000,503.1094
6180,878000,673.4477
6182,880000,638.6908
6185,882000,583.7173
6189,884000,352.427
6191,886000,733.504
6195,888000,389.0391
6198,890000,330.7949
6201,892000,627.4447
6204,894000,399.8637
6207,896000,575.4033
6209,898000,720.2538
6211,900000,689.538
6214,902000,428.6153
6216,904000,691.3609
6218,906000,741.4601
6220,908000,676.8587
6223,910000,612.7877
6225,912000,639.4966
6228,914000,483.61
6231,916000,479.479
6235,918000,421.8112
6237,920000,668.718
6240,922000,514.8263
6242,924000,643.4221
6248,926000,292.8088
6250,928000,719.1959
6253,930000,539.255
6256,932000,505.1171
6258,934000,709.8322
6260,936000,713.2013
6263,938000,489.485
6265,940000,733.4733
6267,942000,616.0822
6269,944000,685.9434
6271,946000,692.4047
6273,948000,690.1962
6275,950000,673.9886
6277,952000,716.6835
6280,954000,508.9324
6284,956000,396.5103
6286,958000,485.6976
6288,960000,674.1549
6290,962000,728.1938
6295,964000,352.1084
6298,966000,616.7188
6300,968000,655.2411
6304,970000,400.2966
6308,972000,367.014
6312,974000,326.0467
6316,976000,456.6377
6320,978000,381.1185
6323,980000,431.1478
6325,982000,707.0126
6328,984000,516.6253
6331,986000,402.8657
6335,988000,488.3701
6338,990000,474.3345
6341,992000,478.3474
6344,994000,525.6725
6348,996000,440.471
6350,998000,612.9737
6355,1000000,368.442
6357,1002000,597.9847
6359,1004000,757.3533
6362,1006000,492.8888
6365,1008000,424.4499
6367,1010000,754.7097
6370,1012000,607.9842
6372,1014000,741.3847
6376,1016000,455.1653
6378,1018000,566.0929
6381,1020000,578.6284
6383,1022000,625.2415
6387,1024000,518.2262
6389,1026000,758.8219
6391,1028000,696.5104
6393,1030000,688.3415
6395,1032000,759.9138
6398,1034000,536.555
6400,1036000,738.9323
6403,1038000,512.6074
6405,1040000,623.2648
6407,1042000,748.9628
6409,1044000,735.9788
6411,1046000,713.7897
6416,1048000,372.2737
6419,1050000,417.9266
6421,1052000,736.1336
6423,1054000,733.8538
6425,1056000,732.1226
6427,1058000,741.2666
6429,1060000,743.9194
6431,1062000,539.3073
6434,1064000,693.6888
6436,1066000,612.589
6439,1068000,462.203
6441,1070000,748.0986
6443,1072000,700.9683
