episode,timestep,reward
69,2000,25.3384
137,4000,27.0454
423,6000,10.4874
705,8000,10.622
1022,10000,8.6854
1338,12000,8.6838
1688,14000,7.402
2038,16000,7.3205
2174,18000,13.8234
2307,20000,13.8869
2642,22000,7.8244
2970,24000,8.1404
3284,26000,8.5722
